CountryCode,CountryName,IndicatorCode,IndicatorName,Year,Value
IN,India,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,2279.98145719369
IN,India,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,2239.61384367482
IN,India,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,1907.04251637669
JP,Japan,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,35951.0449549304
JP,Japan,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,33797.1014287876
JP,Japan,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,35215.003535366
JP,Japan,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,35548.2645222433
JP,Japan,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,41580.739040705
JP,Japan,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,41098.9739004553
SG,Singapore,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,98813.9788172877
SG,Singapore,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,94896.5621495988
SG,Singapore,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,86382.5900499252
SG,Singapore,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,91227.6970426492
SG,Singapore,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,80884.8565369236
SG,Singapore,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,61772.5036492256
US,United States,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,90026.5163005744
US,United States,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,86169.6641581917
US,United States,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,82586.7847707894
US,United States,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,78008.6895811877
US,United States,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,71441.2319805947
US,United States,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,64465.2971415748
ZA,South Africa,NY.GDP.PCAP.CD,GDP per Capita (USD),2025,6597.71450918774
ZA,South Africa,NY.GDP.PCAP.CD,GDP per Capita (USD),2024,6267.186814093
ZA,South Africa,NY.GDP.PCAP.CD,GDP per Capita (USD),2023,6034.27208964673
ZA,South Africa,NY.GDP.PCAP.CD,GDP per Capita (USD),2022,6534.24867783397
ZA,South Africa,NY.GDP.PCAP.CD,GDP per Capita (USD),2021,6828.75624590017
ZA,South Africa,NY.GDP.PCAP.CD,GDP per Capita (USD),2020,5580.60383075189
AE,United Arab Emirates,FP.CPI.TOTL.ZG,Inflation (%),2025,1.250865245598
AE,United Arab Emirates,FP.CPI.TOTL.ZG,Inflation (%),2024,1.66336510224894
AE,United Arab Emirates,FP.CPI.TOTL.ZG,Inflation (%),2023,1.62670837213248
AE,United Arab Emirates,FP.CPI.TOTL.ZG,Inflation (%),2022,5.29122604376849
AE,United Arab Emirates,FP.CPI.TOTL.ZG,Inflation (%),2021,0.179935336174431
AE,United Arab Emirates,FP.CPI.TOTL.ZG,Inflation (%),2020,-2.07940317940944
BR,Brazil,FP.CPI.TOTL.ZG,Inflation (%),2025,5.01675279604836
BR,Brazil,FP.CPI.TOTL.ZG,Inflation (%),2024,4.36746407652337
BR,Brazil,FP.CPI.TOTL.ZG,Inflation (%),2023,4.59356282283204
BR,Brazil,FP.CPI.TOTL.ZG,Inflation (%),2022,9.28010608956873
BR,Brazil,FP.CPI.TOTL.ZG,Inflation (%),2021,8.30165975585673
BR,Brazil,FP.CPI.TOTL.ZG,Inflation (%),2020,3.21176803803376
CN,China,FP.CPI.TOTL.ZG,Inflation (%),2025,0.0595646916565403
CN,China,FP.CPI.TOTL.ZG,Inflation (%),2024,0.218128938439177
CN,China,FP.CPI.TOTL.ZG,Inflation (%),2023,0.234836828893051
CN,China,FP.CPI.TOTL.ZG,Inflation (%),2022,1.97357555739051
CN,China,FP.CPI.TOTL.ZG,Inflation (%),2021,0.981015135544882
CN,China,FP.CPI.TOTL.ZG,Inflation (%),2020,2.41942189457782
