CountryCode,CountryName,Year,Current_Account,FDI_Inflows,GDP_Growth,GDP_per_Capita,Govt_Debt,Inflation,Unemployment
IND,India,2020,1.22362111042791,2.40620322673636,-5.77772470687303,1907.04251637669,1.48838740493255,6.6234367762853,7.859
IND,India,2021,-1.05524166809383,1.41217101040888,9.68959249191741,2239.61384367482,1.48838740493255,5.13140747176364,6.38
IND,India,2022,-2.43238270956779,1.53665241748393,7.6093649776932,2279.98145719369,1.48838740493255,6.69903414079858,4.822
IND,India,2023,-0.912777939495827,0.802254995836756,7.210224629335,2434.44826340989,1.48838740493255,5.64914318907925,4.172
IND,India,2024,-0.851289719084462,0.721648483526777,7.09927893176518,2591.9916607122,1.48838740493255,4.95303550973661,4.173
IND,India,2025,-0.416854153498652,0.988285383995246,7.56666179284244,2702.47987141553,1.48838740493255,2.39884954182294,4.219
JPN,Japan,2020,2.8911777788158,1.20605775501323,-4.28327942675573,41098.9739004553,1.27158921671582,-0.024995834027731,2.809
JPN,Japan,2021,3.76057343034324,0.67025659122188,3.56419531474475,41580.739040705,1.27158921671582,-0.233352779398264,2.808
JPN,Japan,2022,2.0281112293848,1.08260095152642,1.33164750653741,35548.2645222433,1.27158921671582,2.49770278172255,2.614
JPN,Japan,2023,3.61127531871255,0.456297698647986,0.720785304749811,35215.003535366,1.27158921671582,3.26813365933163,2.6
JPN,Japan,2024,4.62202410018024,0.450454817292247,-0.240084236041696,33797.1014287876,1.27158921671582,2.73853681635241,2.5
JPN,Japan,2025,4.86496093471918,1.03278551644542,1.19311288444599,35951.0449549304,1.27158921671582,3.17253034260248,2.451
SGP,Singapore,2020,17.6975168735289,22.5843942948636,-3.61084281729929,61772.5036492256,7.86772307612887,-0.172111865925382,4.1
SGP,Singapore,2021,19.2527773366463,32.2624851402185,10.1410845197192,80884.8565369236,13.4265628595766,2.31610315765146,4.64
SGP,Singapore,2022,18.9227008880076,28.0305519383786,4.01027884472296,91227.6970426492,3.54079942426392,6.13095418919732,3.591
SGP,Singapore,2023,16.3916456531586,24.607056245637,1.45026775889565,86382.5900499252,14.6725874525573,4.83372362825798,3.444
SGP,Singapore,2024,17.2010838902762,23.5787255966584,5.3435120192366,94896.5621495988,12.164056562502,2.38951123595017,2.737
SGP,Singapore,2025,16.7132387250529,26.3447254389071,5.02588199508003,98813.9788172877,12.164056562502,0.902998495002676,2.818
USA,United States,2020,-2.77659039897534,0.641236014628299,-2.081375977796,64465.2971415748,8.07581430157573,1.23358439630629,8.055
USA,United States,2021,-3.61901225446136,2.01451214498067,6.15202247867526,71441.2319805947,-4.99410785249463,4.69785886363742,5.349
USA,United States,2022,-3.81177015326345,1.60006208497274,2.52421385073222,78008.6895811877,0.678025780769579,8.00279982052121,3.65
